,roles,companies,experience,locations,skills
395,"Senior Advisor, E-Business Analytics",DELL,9-12 Years,"Bengaluru / Bangalore, India","  Senior Advisor , E-Business Analytics"
396,Business Intelligence Engineer,Amazon,3-6 Years,Pune,"  Senior Advisor , E-Business Analytics"
397,Business Analyst - SQL Developer,Genpact,Not Specified,Bengaluru / Bangalore,"  Business Analyst - SQL Developer , Operations"
398,Advanced Analytics Cons 3,Wells Fargo,3-8 Years,Bengaluru / Bangalore,"  Business Analyst - SQL Developer , Operations"
399,Advanced Analytics Cons 2,Wells Fargo,1-4 Years,Bengaluru / Bangalore,"  Business Analyst - SQL Developer , Operations"
400,Assistant Manager - SQL Developer,Genpact,Not Specified,Bengaluru / Bangalore,"  Assistant Manager - SQL Developer , Operations"
401,Advanced Analytics Cons 3,Wells Fargo,3-8 Years,Bengaluru / Bangalore,"  Assistant Manager - SQL Developer , Operations"
402,Solution Architect,Prosum Technology Services,Not Specified,India,"  Assistant Manager - SQL Developer , Operations"
403,"BIG DATA ENGINEER, SMART MFG & AI",Micron,0-7 Years,Hyderabad / Secunderabad,"  Manufacturing Engineer , Engineer , Electrical , Business Intelligence , Technology"
404,Business Intelligence Advisor,DELL,7-10 Years,"Bengaluru / Bangalore, India","  Manufacturing Engineer , Engineer , Electrical , Business Intelligence , Technology"
405,Data Integration Specialist,Amazon,6-9 Years,Bengaluru / Bangalore,"  Manufacturing Engineer , Engineer , Electrical , Business Intelligence , Technology"
406,Data Analyst,PayPal,Not Specified,Bengaluru / Bangalore,  Data Analyst
407,Data Integration Specialist,Amazon,6-9 Years,Bengaluru / Bangalore,  Data Analyst
408,Analytic Consultant 4,Wells Fargo,6-9 Years,Bengaluru / Bangalore,  Data Analyst
409,Data engineer,Amazon,7-10 Years,Bengaluru / Bangalore,  Data Engineer
410,Business Intelligence Engineer,Amazon,2-5 Years,Pune,  Data Engineer
411,Business Intelligence Engineer,Amazon,3-6 Years,Pune,  Data Engineer
412,Data Integration Specialist,Amazon,8-11 Years,Bengaluru / Bangalore,  Data Engineer
